timestamp,event_type,step,symbol,trade_type,trade_size,trade_price,best_bid,best_ask,mid_price
1736380447.128662,TRADE,,AAPL,SELL,1,96.01925228015583,,,
1736380447.128692,SNAPSHOT,62,AAPL,,,,96.01925228015583,102.15164553122416,99.08544890568999
1736380447.1486661,TRADE,,AAPL,BUY,3,102.15164553122416,,,
1736380447.1486888,SNAPSHOT,63,AAPL,,,,96.01925228015583,102.15164553122416,99.08544890568999
1736380447.251362,SNAPSHOT,64,AAPL,,,,96.5169321298289,102.15164553122416,99.33428883052653
1736380447.3324878,SNAPSHOT,65,AAPL,,,,96.54179173159265,102.15164553122416,99.34671863140841
1736380447.4090571,TRADE,,AAPL,SELL,6,96.54179173159265,,,
1736380447.409156,SNAPSHOT,66,AAPL,,,,96.5169321298289,102.15164553122416,99.33428883052653
1736380447.439499,SNAPSHOT,67,AAPL,,,,96.67363593860458,102.15164553122416,99.41264073491436
1736380447.614866,TRADE,,AAPL,BUY,2,102.15164553122416,,,
1736380447.614889,TRADE,,AAPL,BUY,6,102.54609878080466,,,
1736380447.61491,SNAPSHOT,68,AAPL,,,,96.67363593860458,,
1736380447.664809,TRADE,,AAPL,SELL,5,96.67363593860458,,,
1736380447.664829,SNAPSHOT,69,AAPL,,,,96.67363593860458,,
1736380447.801862,SNAPSHOT,70,AAPL,,,,98.03983691443564,,
1736380448.197449,SNAPSHOT,71,AAPL,,,,98.17004856747029,,
1736380448.301483,SNAPSHOT,72,AAPL,,,,98.17004856747029,102.39297011676078,100.28150934211553
1736380448.579066,TRADE,,AAPL,SELL,5,98.17004856747029,,,
1736380448.5791638,SNAPSHOT,73,AAPL,,,,98.17004856747029,102.39297011676078,100.28150934211553
1736380448.71252,TRADE,,AAPL,SELL,4,98.17004856747029,,,
1736380448.712538,TRADE,,AAPL,SELL,4,98.03983691443564,,,
1736380448.7126248,SNAPSHOT,74,AAPL,,,,98.03983691443564,102.39297011676078,100.21640351559822
1736380448.736193,SNAPSHOT,75,AAPL,,,,98.03983691443564,98.10943730670749,98.07463711057156
1736380449.074465,TRADE,,AAPL,BID_CROSS,5,98.10943730670749,,,
1736380449.074485,TRADE,,AAPL,BID_CROSS,2,102.39297011676078,,,
1736380449.074555,SNAPSHOT,76,AAPL,,,,98.03983691443564,102.39297011676078,100.21640351559822
1736380449.127052,TRADE,,AAPL,BID_CROSS,5,95.28751202506955,,,
1736380449.12714,SNAPSHOT,77,AAPL,,,,96.67363593860458,102.39297011676078,99.53330302768268
1736380449.4113438,TRADE,,AAPL,BUY,4,102.39297011676078,,,
1736380449.411436,SNAPSHOT,78,AAPL,,,,96.67363593860458,102.39297011676078,99.53330302768268
1736380449.440646,SNAPSHOT,79,AAPL,,,,96.67363593860458,97.83169449500863,97.2526652168066
1736380449.8122602,SNAPSHOT,80,AAPL,,,,96.67363593860458,97.83169449500863,97.2526652168066
1736380450.1223412,SNAPSHOT,81,AAPL,,,,96.67363593860458,97.83169449500863,97.2526652168066
1736380450.2757099,SNAPSHOT,82,AAPL,,,,96.89450830530554,97.83169449500863,97.36310140015709
1736380450.559349,SNAPSHOT,83,AAPL,,,,96.99514036346058,97.83169449500863,97.41341742923461
1736380450.559814,SNAPSHOT,84,AAPL,,,,96.99514036346058,97.83169449500863,97.41341742923461
1736380450.609429,TRADE,,AAPL,BID_CROSS,5,96.11419920633486,,,
1736380450.609473,SNAPSHOT,85,AAPL,,,,96.89450830530554,97.83169449500863,97.36310140015709
1736380450.670296,TRADE,,AAPL,BUY,2,97.83169449500863,,,
1736380450.67034,SNAPSHOT,86,AAPL,,,,96.89450830530554,98.66431829108932,97.77941329819743
1736380450.759527,SNAPSHOT,87,AAPL,,,,96.89450830530554,98.66431829108932,97.77941329819743
1736380451.0005949,SNAPSHOT,88,AAPL,,,,96.89450830530554,98.66431829108932,97.77941329819743
1736380451.399151,SNAPSHOT,89,AAPL,,,,96.89450830530554,98.66431829108932,97.77941329819743
1736380451.403151,TRADE,,AAPL,SELL,6,96.89450830530554,,,
1736380451.403164,TRADE,,AAPL,SELL,3,96.67363593860458,,,
1736380451.403214,SNAPSHOT,90,AAPL,,,,96.67363593860458,98.66431829108932,97.66897711484694
1736380451.8486311,SNAPSHOT,91,AAPL,,,,96.67363593860458,98.66431829108932,97.66897711484694
1736380452.008571,SNAPSHOT,92,AAPL,,,,96.67363593860458,98.66431829108932,97.66897711484694
1736380452.113256,TRADE,,AAPL,SELL,1,96.67363593860458,,,
1736380452.1132631,TRADE,,AAPL,SELL,3,96.5169321298289,,,
1736380452.113264,TRADE,,AAPL,SELL,5,96.01925228015583,,,
1736380452.113307,SNAPSHOT,93,AAPL,,,,96.01925228015583,98.66431829108932,97.34178528562256
1736380452.312758,TRADE,,AAPL,BID_CROSS,2,92.86247359253798,,,
1736380452.312835,SNAPSHOT,94,AAPL,,,,95.00843919021587,98.66431829108932,96.83637874065259
1736380452.908628,SNAPSHOT,95,AAPL,,,,95.04066799643984,98.66431829108932,96.85249314376458
1736380452.957289,TRADE,,AAPL,BUY,1,98.66431829108932,,,
1736380452.957324,SNAPSHOT,96,AAPL,,,,95.04066799643984,98.66431829108932,96.85249314376458
1736380453.05624,TRADE,,AAPL,BID_CROSS,1,98.66431829108932,,,
1736380453.056316,SNAPSHOT,97,AAPL,,,,95.04066799643984,98.66431829108932,96.85249314376458
1736380453.335474,TRADE,,AAPL,SELL,6,95.04066799643984,,,
1736380453.335563,SNAPSHOT,98,AAPL,,,,95.04066799643984,98.66431829108932,96.85249314376458
1736380453.537893,TRADE,,AAPL,SELL,1,95.04066799643984,,,
1736380453.537972,SNAPSHOT,99,AAPL,,,,95.04066799643984,98.66431829108932,96.85249314376458
1736380453.553851,TRADE,,AAPL,SELL,2,95.04066799643984,,,
1736380453.5538628,TRADE,,AAPL,SELL,7,95.00843919021587,,,
1736380453.553925,SNAPSHOT,100,AAPL,,,,94.78024906017679,98.66431829108932,96.72228367563305
1736380453.794849,SNAPSHOT,101,AAPL,,,,94.78024906017679,98.02126317458536,96.40075611738106
1736380453.906241,TRADE,,AAPL,BUY,8,98.02126317458536,,,
1736380453.906249,TRADE,,AAPL,BUY,2,98.66431829108932,,,
1736380453.9062889,SNAPSHOT,102,AAPL,,,,94.78024906017679,98.66431829108932,96.72228367563305
1736380454.531287,SNAPSHOT,103,AAPL,,,,94.86400540450683,98.66431829108932,96.76416184779808
1736380454.547641,SNAPSHOT,104,AAPL,,,,94.86400540450683,97.18860395125304,96.02630467787993
1736380454.7198389,SNAPSHOT,105,AAPL,,,,94.86400540450683,95.05778055665485,94.96089298058084
1736380454.764055,SNAPSHOT,106,AAPL,,,,94.86400540450683,95.05778055665485,94.96089298058084
