timestamp,symbol,trade_type,trade_size,trade_price
1736379811.238095,AAPL,SELL,8,98.3167629175906
1736379811.521951,AAPL,BUY,3,101.03726691372084
1736379811.57124,AAPL,BID_CROSS,6,101.03726691372084
1736379811.571483,AAPL,BUY,8,101.17730221468678
1736379811.571489,AAPL,BUY,2,101.28402306364946
1736379811.676467,AAPL,BUY,1,101.28402306364946
1736379811.934039,AAPL,SELL,1,98.3167629175906
1736379811.934054,AAPL,SELL,5,97.61220785613841
1736379812.192353,AAPL,SELL,2,97.61220785613841
1736379812.1923609,AAPL,SELL,1,97.22716172631318
1736379812.192362,AAPL,SELL,3,96.53060176144368
1736379812.192363,AAPL,SELL,2,95.4577807070246
1736379812.2999759,AAPL,BUY,4,101.28402306364946
1736379812.303775,AAPL,BID_CROSS,1,101.28402306364946
1736379812.5515761,AAPL,SELL,8,101.52839917348405
1736379812.678912,AAPL,BID_CROSS,2,102.50317096677415
1736379812.678924,AAPL,BID_CROSS,7,103.46001767178328
1736379813.010754,AAPL,BUY,3,103.46001767178328
1736379813.2298229,AAPL,SELL,1,101.52839917348405
1736379813.2298398,AAPL,SELL,7,95.4577807070246
1736379814.231702,AAPL,BUY,4,104.73566438880923
1736379814.460393,AAPL,SELL,6,99.77094935262059
1736379815.5826418,AAPL,BID_CROSS,1,103.13677299698708
1736379815.854549,AAPL,SELL,3,103.74749549333363
1736379815.854563,AAPL,SELL,5,102.12782461949092
1736379817.060879,AAPL,SELL,1,102.12782461949092
1736379817.4481559,AAPL,BUY,2,102.80888369788
1736379817.781461,AAPL,SELL,1,99.77094935262059
1736379817.7815082,AAPL,SELL,7,99.31284012297951
1736379818.435891,AAPL,BID_CROSS,1,102.4881063013571
1736379818.7181811,AAPL,BUY,7,104.95773579289158
1736379818.818846,AAPL,BUY,3,104.95773579289158
1736379819.5290391,AAPL,BID_CROSS,5,107.75341283951593
1736379819.5646772,AAPL,BUY,1,107.75341283951593
1736379820.5434701,AAPL,BID_CROSS,9,102.48604357268123
1736379820.543482,AAPL,BID_CROSS,1,102.48604357268123
1736379820.96859,AAPL,BID_CROSS,2,97.11747328753856
1736379820.968603,AAPL,BID_CROSS,4,97.11747328753856
1736379821.4809742,AAPL,BID_CROSS,1,99.87197325698232
1736379821.4809878,AAPL,BID_CROSS,3,99.87197325698232
1736379821.494239,AAPL,BID_CROSS,2,96.11210921056282
1736379821.4942532,AAPL,BID_CROSS,5,96.11210921056282
1736379821.811407,AAPL,BID_CROSS,1,97.58982646079414
1736379822.546876,AAPL,BID_CROSS,3,99.16467136456167
1736379822.54689,AAPL,BID_CROSS,3,99.16467136456167
1736379822.546895,AAPL,BID_CROSS,1,99.16467136456167
1736379822.7703302,AAPL,SELL,7,97.63267036212548
1736379822.795905,AAPL,SELL,7,96.67608987338919
1736379822.841654,AAPL,BUY,5,101.55715932685969
1736379823.1160161,AAPL,SELL,3,96.67608987338919
1736379823.116029,AAPL,SELL,3,95.70039573861207
1736379823.631062,AAPL,BID_CROSS,7,98.13650755370057
1736379823.6479008,AAPL,SELL,4,95.32222478858239
1736379823.6479208,AAPL,SELL,6,95.00868614192986
1736379823.6967108,AAPL,BUY,3,98.13650755370057
1736379823.696728,AAPL,BUY,1,101.55715932685969
1736379824.435339,AAPL,BUY,2,101.55715932685969
1736379825.374539,AAPL,BID_CROSS,3,93.58840608817205
1736379825.6057322,AAPL,SELL,1,93.13024183202732
1736379825.6057441,AAPL,SELL,7,92.47193090773332
1736379825.6530051,AAPL,BID_CROSS,8,93.38547319781401
